id;login;rating;num_games;filteredRanking;ranking
168854;TheWeeTyrant;645;920;482;944
207162;FueledByFire;644;149;483;947
170588;redgnome;642;165;484;950
206805;SpinDizzy7;641;135;485;955
150092;ximmic;639;655;486;964
121438;Zesty_Lime;638;315;487;966
60172;zibra123;637;312;488;967
140211;DEXTON;634;70;489;974
68103;Anarky_Amb;626;894;490;992
155771;keke;625;252;491;994
174709;RLO;622;254;492;1002
200305;MODDER;621;318;493;1004
161773;quaatal;620;114;494;1010
65197;GFY_Shaggy;618;395;495;1013
134636;Spartiaan;617;65;496;1015
89134;BeK;615;123;497;1022
129028;davide;615;128;498;1023
91223;Jesterz;614;102;499;1025
21202;Justinoo;612;83;500;1031
119233;Houwitzer2;611;1196;501;1035
130330;AcidVash;611;211;502;1036
214939;JEDI45;610;383;503;1039
129011;Rayoner;603;756;504;1051
161430;TheMadHobo;603;64;505;1052
95979;HardyMan;602;97;506;1053
52483;LaczkoUr;601;94;507;1056
222867;leady99;600;45;508;1057
112769;Lekar87;599;1031;509;1060
105391;WHEELBARROWS;594;77;510;1069
89665;Rhododendron;593;264;511;1070
34781;Jabokoe;589;1654;512;1074
222677;KIVi;584;86;513;1083
103506;Thingammabob;583;60;514;1085
125353;Loopin;583;101;515;1086
181850;Zamura;577;225;516;1098
69691;lazy;576;265;517;1101
185923;TTTTTTT;574;170;518;1103
134403;Spoon-FDZ;573;158;519;1105
221471;mark22shortie;573;48;520;1107
112452;Adrol_;572;51;521;1109
88628;WoodenBladee;571;377;522;1110
99843;ONI-Chan;570;69;523;1116
135128;JJs_AI;570;75;524;1117
58791;JoeJones;563;49;525;1136
69156;Angrytaco;559;152;526;1141
185834;Sputnik2;559;163;527;1142
96470;T82;556;1364;528;1146
152796;iCarpe_Diem;554;98;529;1152
86444;stormysky;553;118;530;1154
110544;robobill;553;96;531;1155
14746;comodor;551;2983;532;1160
185899;Vinyl117;551;100;533;1162
51142;Spocko;549;255;534;1164
98300;for-zion;543;102;535;1173
121296;Jumpstyle;543;150;536;1174
37976;Levyman;541;57;537;1177
156002;Diety;540;138;538;1178
89527;Capt_Bucky_OHare;539;149;539;1181
65327;Photon;537;4456;540;1183
149311;vudeulash;536;246;541;1187
182282;Zu-Zu-Zu;536;88;542;1189
189217;Professor_van_M;536;479;543;1190
64600;jpp90;535;1142;544;1192
207681;Stata;535;41;545;1194
180764;OmegaMan;533;70;546;1197
161706;MadlordJ;532;57;547;1198
133820;seanm;531;85;548;1199
209835;Sarbs;530;55;549;1201
69617;Chiper136;525;140;550;1210
193099;LadyBernkastel;525;83;551;1212
28185;EdgarRr;524;1003;552;1214
122003;Kaloustaphae;523;50;553;1217
31378;BrokenBoomerang;522;53;554;1219
104957;Clay100;522;50;555;1220
179932;Doctor_Man;519;177;556;1228
182644;Valmont;519;120;557;1229
117753;LittleHill;518;113;558;1231
169282;hiddentalent424;517;175;559;1233
206839;ReXenor;513;120;560;1241
194059;JD_Francis;511;202;561;1243
157061;CrispyBacon;509;75;562;1248
115997;kirdaiht;507;785;563;1251
196544;seidkarll;507;116;564;1253
206257;Kaoticice;507;48;565;1254
53247;stratobrick;501;138;566;1261
147021;Sindri;501;65;567;1262
3173;igsas_fr;500;730;568;1263
63434;p00dle;498;147;569;1267
54496;GutInstinct;495;858;570;1276
189484;Holy_Loli;490;76;571;1283
109047;niels1232;489;41;572;1285
110810;andrey-z;489;960;573;1286
159444;sHeZ1985;489;50;574;1287
26978;tvfa;487;139;575;1290
40421;DK_J2xC;486;85;576;1293
94525;BobertPhoenix;485;140;577;1294
199435;Son_of_Satan;484;149;578;1295
82365;Dirtierdragon;483;70;579;1298
113338;TobySkeleton;481;115;580;1302
218539;TigerEye;477;55;581;1309
144396;BlackZilla;476;70;582;1310
25289;CyborgOO7;475;313;583;1312
151002;portent721;475;1279;584;1313
15292;Juicy;473;2835;585;1316
160032;AroM;473;312;586;1318
187182;farquaad;473;174;587;1319
226108;ZacharyBliss92;471;144;588;1325
116558;coca;470;8212;589;1328
26479;blackworm;469;280;590;1330
29803;Selgeron;469;86;591;1331
199270;MrJ4y;469;205;592;1332
27777;Re_ArtU;463;241;593;1342
114516;Ganymedes;463;110;594;1344
64830;Captiancrisis;462;80;595;1347
95289;AndRomedia;462;43;596;1348
19993;ablege;460;425;597;1354
164005;theyesser;460;61;598;1355
331;prodromos;459;2546;599;1356
139665;Wink3l;459;129;600;1358
169129;Ciurra;458;77;601;1360
30103;Chairman_Meow;457;272;602;1361
195921;BadMaw;457;59;603;1363
119175;Soulcrookster;456;136;604;1364
122340;oortog11;454;124;605;1371
181252;mikko_nr9;453;282;606;1376
217404;XingXin;450;439;607;1383
17106;rjmahan;447;285;608;1386
89175;Tomalak;444;604;609;1389
221668;Silenes_Ecowhore;442;252;610;1391
110966;Torvi;438;142;611;1392
138177;mapi5032;437;235;612;1395
73149;Docbone;435;134;613;1401
122748;Cpt_Cnullrufs;430;148;614;1413
71779;murf64;429;2604;615;1417
41136;Mad_Mic;428;104;616;1420
90108;Thomy100;419;173;617;1436
13970;NightLord;418;95;618;1437
98722;frifri317;417;94;619;1441
185580;Drew4life;415;162;620;1447
112280;blorg;414;104;621;1452
148543;Thoughtful_Pony;413;74;622;1455
78705;generaln1;411;48;623;1464
112683;AVENGER_;411;51;624;1466
182613;Wraith_;411;96;625;1468
210677;Almighty;411;174;626;1469
202713;pranksterN1;409;75;627;1473
136831;BADONKADONK;408;510;628;1474
110986;Darin8900;407;57;629;1479
16787;growooken;404;46;630;1485
63076;CouncilorIrissa;400;48;631;1499
226964;mirek7755;400;193;632;1502
96175;luckyrivers;399;193;633;1503
65050;TrashaSmasha;398;199;634;1505
176044;vCrusherv;394;55;635;1514
193297;chunky;393;86;636;1516
14947;Centurian_X;391;3225;637;1519
22399;oE_Empiran;391;196;638;1520
26042;bigdoc;389;141;639;1524
200598;mxl;389;57;640;1527
70573;RedRaven;388;239;641;1529
176560;Sargas;388;107;642;1530
201436;Silent_Killer;387;127;643;1531
225298;Rainbowdash_;383;54;644;1541
217035;Myxir;379;86;645;1546
35594;WhiteDragon;375;1139;646;1552
93641;Chubbychaser10;371;46;647;1561
135989;Nalkoden;366;167;648;1571
221457;Yunnus_John_Yau;366;43;649;1575
187390;dakkadakka;363;515;650;1583
84936;cpehonk;362;1507;651;1584
208820;slyfox431;362;59;652;1586
222934;Coyote2017;359;124;653;1596
217971;ExtremeRock;358;48;654;1598
11011;Flipper;353;347;655;1603
57854;lldaedalusll;353;47;656;1604
24857;BRS_Kaeden;352;360;657;1607
21234;dardan;346;2472;658;1619
176999;Pr3s3nc3;345;56;659;1625
16510;TAG_Archist;342;978;660;1631
172746;acu_m;339;2591;661;1643
70405;Leastsum;337;153;662;1648
108402;Splithy;335;46;663;1655
213826;Paul2787;329;43;664;1663
208887;De_Admiraal;327;44;665;1666
78378;catan;326;869;666;1669
44398;Anteas_01;324;63;667;1671
71294;KillaKam;321;61;668;1678
192245;bruce1337;321;519;669;1679
7937;Darkmoon_UK;320;192;670;1680
172545;Treos;317;60;671;1685
206711;DarkerDreams;315;300;672;1690
155618;Triplicate;313;73;673;1696
46730;SneakyTurtle;310;54;674;1699
50710;NiCAD;310;574;675;1700
175593;doa445;309;829;676;1703
103011;NimrodNL;307;52;677;1707
87460;palyno;305;337;678;1710
140672;Hypercation;301;63;679;1719
31491;Mucko;300;67;680;1720
105808;lansraad01;300;1116;681;1721
209609;Danturo;298;64;682;1727
51578;Theutonicus;295;195;683;1733
103771;Zero3200;294;41;684;1735
127411;Zeldafanboy;289;101;685;1750
196704;morrillt;280;446;686;1770
59526;limitless;277;89;687;1776
54858;Optikallusion;276;52;688;1780
151804;johntys2013;274;82;689;1784
100050;MrJ;273;118;690;1785
44300;mcmueller;272;167;691;1786
188382;Mr_Panda;271;400;692;1791
204712;DOOM43;269;58;693;1797
33322;zetatronik;265;58;694;1803
144623;jobrook911;263;69;695;1806
162815;ZxSC;263;67;696;1807
22330;Bernie_Sanders;262;87;697;1809
78206;MicroShift;261;297;698;1814
33845;Senor_Waddles;259;87;699;1816
35985;Dura;251;450;700;1833
94526;carsonwest;243;52;701;1849
9051;sushiman1313;241;118;702;1853
18970;pelap;230;688;703;1873
123454;Saturn62;224;92;704;1884
89315;erGooo;220;56;705;1892
156106;wakagran;217;102;706;1898
137153;MyMountain;214;46;707;1905
126506;Timber_Waffle;207;42;708;1919
188699;Marcin94568;205;58;709;1922
21449;VG2012;203;6562;710;1924
154912;forscience69;202;72;711;1925
25438;panzer24;187;1401;712;1954
206642;Tiffi;186;48;713;1957
114866;Encelador;181;43;714;1967
129886;Elektro1881;181;55;715;1968
84274;Snipe163;178;77;716;1974
166417;Zneste;178;61;717;1976
208545;Jefferoo;177;111;718;1979
188680;Damascus;170;144;719;1994
223498;GIRTHY_EGGROLLS;164;108;720;2005
31816;bisq01;159;3951;721;2015
40061;Blork_the_Orc;159;870;722;2017
179276;yan;157;1843;723;2026
219325;Fr0maN;154;132;724;2035
27213;ClintToastwood;152;307;725;2038
66280;MutantGenepool;148;93;726;2046
154599;Marcell-DAvis;145;103;727;2051
159786;TheSetonerIsGay;137;95;728;2069
51409;retalliator;130;345;729;2079
174749;KeroGaming;123;150;730;2092
212272;OLOLORASHER;120;55;731;2099
91352;NeonGrau;119;44;732;2100
157841;Reactor_Zaharov;115;74;733;2115
193685;HZeshka;80;144;734;2176
213088;ELiiMiku;79;69;735;2180
224560;Looongcat;79;48;736;2181
77871;Bilko1000;75;229;737;2188
14667;hoodwinked;66;936;738;2206
193387;Col_Hogan;58;227;739;2230
157336;Plutonic_Soda;57;50;740;2234
98569;LFP;38;235;741;2494
76048;neeps;18;41;742;2770
112168;Scratch2;18;273;743;2771
108003;Ghotil;17;41;744;2784
116577;Sanko;15;323;745;2801
153270;StrikeSS;2;43;746;2903
108453;drivefast;-31;73;747;3026
203179;Viktor1991;-87;53;748;3163
198678;White_Tiger_321;-88;44;749;3165
137053;finalzone2;-100;425;750;3187
212833;FaReNoy;-114;53;751;3212
